experiment_name,concurrency,payload_file,errors,successes,error_rate,all_prompts_token_count,prompt_token_count_mean,prompt_token_throughput,all_completions_token_count,completion_token_count_mean,completion_token_throughput,transactions,transactions_per_second,transactions_per_minute,latency_mean,instance_type,EndpointName,ModelName,Image,S3Uri,ENDPOINT_SERVER_TIMEOUT,HF_MODEL_ID,MAX_BATCH_PREFILL_TOKENS,MAX_INPUT_LENGTH,MAX_TOTAL_TOKENS,MODEL_CACHE_ROOT,SAGEMAKER_ENV,SAGEMAKER_MODEL_SERVER_WORKERS,SAGEMAKER_PROGRAM,SM_NUM_GPUS
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,8,payload_en_2000-3000.jsonl,[],8,0.0,20226,2528.25,1468.72,718,89.75,52.14,8,0.58,34,7.923025869251433,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,2,payload_en_3000-4000.jsonl,[],2,0.0,6626,3313.0,1082.04,105,52.5,17.15,2,0.33,19,4.07779598099296,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,6,payload_en_1000-2000.jsonl,[],6,0.0,9369,1561.5,1479.16,351,58.5,55.42,6,0.95,57,4.601382800496746,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,4,payload_en_3000-4000.jsonl,[],4,0.0,13239,3309.75,1679.03,213,53.25,27.01,4,0.51,30,5.716153105000558,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,4,payload_en_3000-4000.jsonl,[],4,0.0,14395,3598.75,1566.69,403,100.75,43.86,4,0.44,26,8.499556738253887,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,6,payload_en_1000-2000.jsonl,[],6,0.0,9214,1535.6666666666667,1443.62,473,78.83333333333333,74.11,6,0.94,56,5.504851697330499,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_3000-4000.jsonl,[],1,0.0,3400,3400.0,646.73,98,98.0,18.64,1,0.19,11,5.24505436499021,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_3000-4000.jsonl,[],1,0.0,3497,3497.0,3956.41,1,1.0,1.13,1,1.13,67,0.8718501399998786,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,6,payload_en_2000-3000.jsonl,[],6,0.0,14836,2472.6666666666665,1690.63,463,77.16666666666667,52.76,6,0.68,40,6.953725405005874,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
mistral-7b-g5-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_1000-2000.jsonl,[],1,0.0,1598,1598.0,1367.33,20,20.0,17.11,1,0.86,51,1.1596975949942134,ml.g5.2xlarge,lmistral7b-g5-2xlarge-1706037700,hf-llm-mistral-7b-2024-01-23-19-21-40-301,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-cache-prod-us-east-1/huggingface-llm/huggingface-llm-mistral-7b/artifacts/inference-prepack/v1.0.0/,3600,/opt/ml/model,8191,8191,8192,/opt/ml/model,1,1,inference.py,1
