experiment_name,payload_file,instance_type,instance_count,concurrency,error_rate,prompt_token_count_mean,prompt_token_throughput,completion_token_count_mean,completion_token_throughput,latency_p50,latency_p95,latency_p99,transactions_per_minute,price_per_txn,price_per_token,score_dict,score,any_criterion_failed,error_rate_criterion_failed,latency_criterion_failed,cost_per_txn_criterion_failed,error_rate_text,latency_p95_text,price_per_10k_txn_text
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,2,0.0,3433,4596,42,46,1.51,1.83,1.86,79,0.004535864978902954,0.00000131,"{'score': 5.631413502109705, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.83</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>45.36</span>""}",5.631413502109705,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.83</span>,<span style='color:green'>45.36</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,1,0.0,3433,3059,42,28,1.52,1.52,1.52,52,0.006891025641025641,0.00000198,"{'score': 4.550897435897436, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.52</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>68.91</span>""}",4.550897435897436,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.52</span>,<span style='color:green'>68.91</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,25,0.0,3429,17470,42,216,2.85,4.28,4.77,305,0.0011748633879781422,0.00000034,"{'score': 2.8825136612021858, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**4.28**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>11.75</span>""}",2.8825136612021858,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**4.28**</span>,<span style='color:green'>11.75</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,18,0.0,3426,16693,40,185,2.35,3.59,3.89,292,0.0012271689497716895,0.00000035,"{'score': 2.877283105022831, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.59**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>12.27</span>""}",2.877283105022831,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.59**</span>,<span style='color:green'>12.27</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,20,0.0,3443,15230,42,185,2.46,4.36,4.49,265,0.0013522012578616352,0.00000039,"{'score': 2.8647798742138364, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**4.36**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>13.52</span>""}",2.8647798742138364,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**4.36**</span>,<span style='color:green'>13.52</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,15,0.0,3439,13607,43,166,2.28,3.62,3.87,237,0.0015119549929676513,0.00000043,"{'score': 2.8488045007032348, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.62**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>15.12</span>""}",2.8488045007032348,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.62**</span>,<span style='color:green'>15.12</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,14,0.0,3433,13123,42,155,2.18,3.32,3.77,228,0.0015716374269005848,0.00000045,"{'score': 2.8428362573099415, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.32**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>15.72</span>""}",2.8428362573099415,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.32**</span>,<span style='color:green'>15.72</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,12,0.0,3438,12013,42,144,2.03,3.22,3.57,209,0.0017145135566188198,0.00000049,"{'score': 2.828548644338118, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.22**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>17.15</span>""}",2.828548644338118,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.22**</span>,<span style='color:green'>17.15</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,10,0.0,3437,10875,42,131,1.98,3.1,3.36,189,0.0018959435626102292,0.00000054,"{'score': 2.810405643738977, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.10**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>18.96</span>""}",2.810405643738977,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.10**</span>,<span style='color:green'>18.96</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,8,0.0,3456,9636,44,116,1.76,2.94,3.07,167,0.0021457085828343312,0.00000061,"{'score': 2.785429141716567, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**2.94**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>21.46</span>""}",2.785429141716567,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**2.94**</span>,<span style='color:green'>21.46</span>
