experiment_name,payload_file,instance_type,instance_count,concurrency,error_rate,prompt_token_count_mean,prompt_token_throughput,completion_token_count_mean,completion_token_throughput,latency_p50,latency_p95,latency_p99,transactions_per_minute,price_per_txn,price_per_token,score_dict,score,any_criterion_failed,error_rate_criterion_failed,latency_criterion_failed,cost_per_txn_criterion_failed,error_rate_text,latency_p95_text,price_per_10k_txn_text
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,2,0.0,3433,4508,42,45,1.54,1.87,1.9,77,0.004653679653679654,0.00000134,"{'score': 5.599632034632035, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.87</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>46.54</span>""}",5.599632034632035,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.87</span>,<span style='color:green'>46.54</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,1,0.0,3433,3001,42,27,1.56,1.56,1.56,51,0.007026143790849673,0.00000202,"{'score': 4.517385620915032, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.56</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>70.26</span>""}",4.517385620915032,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.56</span>,<span style='color:green'>70.26</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,18,0.0,3426,16289,40,181,2.37,3.66,3.95,285,0.0012573099415204678,0.00000036,"{'score': 2.874269005847953, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.66**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>12.57</span>""}",2.874269005847953,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.66**</span>,<span style='color:green'>12.57</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,20,0.0,3443,14883,42,181,2.49,4.49,4.62,259,0.0013835263835263836,0.00000040,"{'score': 2.8616473616473614, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**4.49**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>13.84</span>""}",2.8616473616473614,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**4.49**</span>,<span style='color:green'>13.84</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,15,0.0,3439,13128,43,160,2.34,3.68,4.01,229,0.0015647743813682678,0.00000045,"{'score': 2.843522561863173, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.68**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>15.65</span>""}",2.843522561863173,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.68**</span>,<span style='color:green'>15.65</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,14,0.0,3433,12981,42,153,2.19,3.41,3.85,226,0.0015855457227138643,0.00000046,"{'score': 2.8414454277286136, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.41**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>15.86</span>""}",2.8414454277286136,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.41**</span>,<span style='color:green'>15.86</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,12,0.0,3438,11730,42,140,2.09,3.3,3.66,204,0.0017565359477124183,0.00000050,"{'score': 2.8243464052287583, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.30**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>17.57</span>""}",2.8243464052287583,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.30**</span>,<span style='color:green'>17.57</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,10,0.0,3437,10555,42,127,1.97,3.19,3.46,184,0.0019474637681159421,0.00000056,"{'score': 2.8052536231884058, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.19**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>19.47</span>""}",2.8052536231884058,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.19**</span>,<span style='color:green'>19.47</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,8,0.0,3456,9382,44,112,1.79,3.02,3.15,163,0.0021983640081799593,0.00000063,"{'score': 2.780163599182004, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**3.02**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>21.98</span>""}",2.780163599182004,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**3.02**</span>,<span style='color:green'>21.98</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,4,0.0,3439,6327,42,73,1.54,2.31,2.39,110,0.0032575757575757577,0.00000094,"{'score': 2.6742424242424243, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**2.31**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>32.58</span>""}",2.6742424242424243,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**2.31**</span>,<span style='color:green'>32.58</span>
