experiment_name,payload_file,instance_type,instance_count,concurrency,error_rate,prompt_token_count_mean,prompt_token_throughput,completion_token_count_mean,completion_token_throughput,latency_p50,latency_p95,latency_p99,transactions_per_minute,price_per_txn,price_per_token,score_dict,score,any_criterion_failed,error_rate_criterion_failed,latency_criterion_failed,cost_per_txn_criterion_failed,error_rate_text,latency_p95_text,price_per_10k_txn_text
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,14,0.0,3433,23507,41,278,1.33,1.84,2.04,410,0.0008739837398373984,0.00000025,"{'score': 17.99260162601626, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.84</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>8.74</span>""}",17.99260162601626,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.84</span>,<span style='color:green'>8.74</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,12,0.0,3438,22370,42,269,1.25,1.71,1.85,390,0.0009188034188034189,0.00000026,"{'score': 16.05311965811966, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.71</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>9.19</span>""}",16.05311965811966,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.71</span>,<span style='color:green'>9.19</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,10,0.0,3437,20476,42,246,1.14,1.61,1.72,357,0.001003734827264239,0.00000029,"{'score': 14.094626517273575, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.61</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>10.04</span>""}",14.094626517273575,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.61</span>,<span style='color:green'>10.04</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,8,0.0,3456,18917,43,228,0.98,1.45,1.5,328,0.001092479674796748,0.00000031,"{'score': 12.165752032520325, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.45</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>10.92</span>""}",12.165752032520325,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.45</span>,<span style='color:green'>10.92</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,4,0.0,3439,13911,42,161,0.72,1.02,1.05,242,0.0014807162534435261,0.00000043,"{'score': 8.341928374655648, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>1.02</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>14.81</span>""}",8.341928374655648,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>1.02</span>,<span style='color:green'>14.81</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,2,0.0,3433,8982,41,95,0.72,0.85,0.86,156,0.002297008547008547,0.00000066,"{'score': 6.345299145299146, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>0.85</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>22.97</span>""}",6.345299145299146,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>0.85</span>,<span style='color:green'>22.97</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,1,0.0,3433,5530,42,55,0.73,0.73,0.73,95,0.0037719298245614034,0.00000109,"{'score': 5.257807017543859, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>0.73</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>37.72</span>""}",5.257807017543859,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>0.73</span>,<span style='color:green'>37.72</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,25,0.0,3429,28791,42,351,2.02,2.61,2.86,503,0.0007123923127899272,0.00000021,"{'score': 2.9287607687210073, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**2.61**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>7.12</span>""}",2.9287607687210073,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**2.61**</span>,<span style='color:green'>7.12</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,18,0.0,3426,28076,39,314,1.57,2.07,2.19,491,0.0007298031228784793,0.00000021,"{'score': 2.927019687712152, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**2.07**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>7.30</span>""}",2.927019687712152,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**2.07**</span>,<span style='color:green'>7.30</span>
Meta-Llama-3-8B-Instruct-triton,payload_en_3000-3840.jsonl,trn1.32xlarge,1.0,20,0.0,3443,26881,42,326,1.71,2.44,2.5,468,0.0007656695156695156,0.00000022,"{'score': 2.9234330484330484, 'any_criterion_failed': True, 'error_rate_criterion_failed': False, 'latency_criterion_failed': True, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:red'>**2.44**</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>7.66</span>""}",2.9234330484330484,True,False,True,False,<span style='color:green'>0.00</span>,<span style='color:red'>**2.44**</span>,<span style='color:green'>7.66</span>
